Mercado,Produto,Preço Varejo (R$),ICMS (%),ICMS (R$),PIS (%),PIS (R$),COFINS (%),COFINS (R$),IPI (%),IPI (R$),Total Tributos (R$),Preço Líquido (R$)
REIS,Banana prata,6.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,6.0
REIS,Banana maçã,7.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,7.0
REIS,Banana terra,8.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,8.0
REIS,Maçã,12.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,12.0
REIS,Limão,4.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,4.0
REIS,Ovo branco,19.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,19.0
REIS,Ovo caipira,26.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,26.0
REIS,Pepsi,7.0,21.00%,1.47,1.650%,0.12,7.60%,0.53,0.00%,0.0,2.12,4.88
REIS,Pepsi balch,7.0,21.00%,1.47,1.650%,0.12,7.60%,0.53,0.00%,0.0,2.12,4.88
REIS,Guaraná antártica,6.0,21.00%,1.26,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.81,4.19
REIS,Guaraná antártica zero,7.0,21.00%,1.47,1.650%,0.12,7.60%,0.53,0.00%,0.0,2.12,4.88
REIS,Coca cola,9.0,21.00%,1.89,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.72,6.28
REIS,Coca zero,9.0,21.00%,1.89,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.72,6.28
REIS,Suco lafruit,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
REIS,Suco lafruit light,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
REIS,Suco adoralle,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
REIS,Suco del Valle,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.26,5.74
REIS,Colgate,7.0,12.00%,0.84,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.49,5.51
REIS,Closeup,4.0,12.00%,0.48,1.650%,0.07,7.60%,0.3,0.00%,0.0,0.85,3.15
REIS,Absorvente intimus noturno,10.0,12.00%,1.2,1.650%,0.17,7.60%,0.76,0.00%,0.0,2.12,7.88
REIS,Absorvente always noturno,10.0,12.00%,1.2,1.650%,0.17,7.60%,0.76,0.00%,0.0,2.12,7.88
REIS,Absorvente milli noturno,6.0,12.00%,0.72,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.27,4.72
REIS,Creme seda,15.0,19.00%,2.85,1.650%,0.25,7.60%,1.14,5.00%,0.75,4.99,10.01
REIS,Shampoo dove,19.0,19.00%,3.61,1.650%,0.31,7.60%,1.44,7.00%,1.33,6.7,12.3
REIS,Condicionador dove,21.0,19.00%,3.99,1.650%,0.35,7.60%,1.6,7.00%,1.47,7.4,13.6
REIS,Shampoo Elseve 200ml,19.0,19.00%,3.61,1.650%,0.31,7.60%,1.44,7.00%,1.33,6.7,12.3
REIS,Condicionador Elseve,21.0,19.00%,3.99,1.650%,0.35,7.60%,1.6,7.00%,1.47,7.4,13.6
REIS,Sabonete palmolive,4.0,12.00%,0.48,1.650%,0.07,7.60%,0.3,5.00%,0.2,1.05,2.95
REIS,Sabonete Lux,3.0,12.00%,0.36,1.650%,0.05,7.60%,0.23,5.00%,0.15,0.79,2.21
REIS,Sabonete laflore,4.0,12.00%,0.48,1.650%,0.07,7.60%,0.3,5.00%,0.2,1.05,2.95
REIS,Desodorante masculino Rexona,22.0,25.00%,5.5,1.650%,0.36,7.60%,1.67,5.00%,1.1,8.63,13.37
REIS,Desodorante masculino Bozzano,14.0,25.00%,3.5,1.650%,0.23,7.60%,1.06,5.00%,0.7,5.5,8.5
REIS,Desodorante masculino Above,14.0,25.00%,3.5,1.650%,0.23,7.60%,1.06,5.00%,0.7,5.5,8.5
REIS,Desodorante feminino Rexona,22.0,25.00%,5.5,1.650%,0.36,7.60%,1.67,5.00%,1.1,8.63,13.37
REIS,Desodorante feminino Nivea,17.0,25.00%,4.25,1.650%,0.28,7.60%,1.29,5.00%,0.85,6.67,10.33
REIS,Desodorante feminino Giovanna,15.0,25.00%,3.75,1.650%,0.25,7.60%,1.14,5.00%,0.75,5.89,9.11
REIS,Papel higiênico Mili,18.0,12.00%,2.16,1.650%,0.3,7.60%,1.37,5.00%,0.9,4.73,13.27
REIS,Papel higiênico atualle,13.0,12.00%,1.56,1.650%,0.21,7.60%,0.99,5.00%,0.65,3.41,9.59
REIS,Papel higiênico mímmo,18.0,12.00%,2.16,1.650%,0.3,7.60%,1.37,5.00%,0.9,4.73,13.27
REIS,Papel toalha snob 50,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.98,5.02
REIS,Papel toalha Mili,4.0,19.00%,0.76,1.650%,0.07,7.60%,0.3,0.00%,0.0,1.13,2.87
REIS,Limpador veja,17.0,19.00%,3.23,1.650%,0.28,7.60%,1.29,5.00%,0.85,5.65,11.35
REIS,Limpador CIF,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,5.00%,0.45,2.99,6.01
REIS,Limpador Ypê,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,5.00%,0.3,2.0,4.0
REIS,Desinfetante pinho,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,5.00%,0.25,1.66,3.34
REIS,Desinfetante Ypê,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,5.00%,0.25,1.66,3.34
REIS,Desinfetante pinho sol,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,5.00%,0.4,2.66,5.34
REIS,Água sanitária qBoa 1 litro,3.0,12.00%,0.36,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.64,2.36
REIS,Água sanitária ki joia,3.0,12.00%,0.36,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.64,2.36
REIS,Água sanitária zupp,3.0,12.00%,0.36,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.64,2.36
REIS,Detergente Ypê,2.0,19.00%,0.38,1.650%,0.03,7.60%,0.15,5.00%,0.1,0.67,1.33
REIS,Detergente azulim,1.0,19.00%,0.19,1.650%,0.02,7.60%,0.08,5.00%,0.05,0.33,0.67
REIS,Detergente ki joia,1.0,19.00%,0.19,1.650%,0.02,7.60%,0.08,5.00%,0.05,0.33,0.67
REIS,Sabão de barra ype,10.0,12.00%,1.2,1.650%,0.17,7.60%,0.76,5.00%,0.5,2.62,7.38
